Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Lazio,Fiorentina,2,1.89,3.84,3.69
Palermo,Verona,1,1.26,6.13,10.50
Udinese,Carpi,2,2.13,3.55,3.28
Chievo,Bologna,X,2.31,3.34,3.11
Empoli,Torino,1,2.54,3.56,2.60
Genoa,Atalanta,2,1.57,4.30,5.35
Milan,Roma,2,2.86,3.73,2.30
Napoli,Frosinone,1,1.06,12.50,26.75
Sassuolo,Inter,1,1.65,4.05,4.89
Juventus,Sampdoria,1,1.21,6.69,13.00
Torino,Napoli,2,7.00,4.75,1.43
Verona,Juventus,1,5.48,4.10,1.60
Atalanta,Udinese,X,3.33,3.30,2.22
Carpi,Lazio,2,2.83,3.26,2.53
Fiorentina,Palermo,X,1.67,3.94,5.07
Frosinone,Sassuolo,2,5.00,4.09,1.64
Sampdoria,Genoa,2,,,
Roma,Chievo,1,1.20,6.51,14.25
Bologna,Milan,2,3.75,3.41,2.03
Inter,Empoli,1,1.36,5.00,8.75
Napoli,Atalanta,1,1.16,7.81,16.13
Genoa,Roma,2,5.38,3.93,1.63
Lazio,Inter,1,2.24,3.45,3.20
Milan,Frosinone,X,1.25,6.11,11.50
Empoli,Bologna,X,2.38,3.21,3.10
Palermo,Sampdoria,1,1.90,3.56,4.03
Sassuolo,Verona,1,1.51,4.37,6.19
Juventus,Carpi,1,1.29,5.31,11.25
Chievo,Fiorentina,X,4.35,3.56,1.83
Udinese,Torino,2,1.94,3.45,4.07
Carpi,Empoli,1,1.83,3.48,4.43
Verona,Milan,1,,,
Roma,Napoli,1,2.66,3.34,2.66
Fiorentina,Juventus,2,,,
Atalanta,Chievo,1,2.01,3.30,3.90
Bologna,Genoa,1,2.26,3.18,3.33
Sampdoria,Lazio,1,3.00,3.30,2.38
Torino,Sassuolo,2,2.36,3.26,3.05
Frosinone,Palermo,2,2.68,3.33,2.61
Inter,Udinese,1,1.47,4.22,7.50
Milan,Carpi,X,1.40,4.44,8.81
Roma,Torino,1,1.39,4.79,8.25
Chievo,Frosinone,1,1.92,3.46,4.10
Empoli,Verona,1,1.90,3.53,4.15
Genoa,Inter,1,3.97,3.50,1.94
Juventus,Lazio,1,1.52,3.99,6.94
Palermo,Atalanta,X,2.33,3.29,3.13
Udinese,Fiorentina,1,,,
Sassuolo,Sampdoria,X,2.16,3.35,3.44
Napoli,Bologna,1,1.27,5.63,11.63
Sampdoria,Milan,2,3.26,3.36,2.23
Lazio,Empoli,1,1.52,4.22,6.30
Fiorentina,Sassuolo,1,1.80,3.61,4.61
Juventus,Palermo,1,1.15,7.56,22.50
Udinese,Chievo,X,1.95,3.43,4.08
Verona,Frosinone,2,1.59,4.03,5.56
Atalanta,Roma,X,4.80,3.61,1.76
Inter,Napoli,1,3.13,3.25,2.35
Carpi,Genoa,1,2.68,3.05,2.82
Bologna,Torino,2,2.93,3.11,2.58
Roma,Bologna,X,1.29,5.34,10.88
Palermo,Lazio,2,3.39,3.38,2.18
Napoli,Verona,1,1.23,6.13,12.13
Sampdoria,Udinese,1,2.08,3.25,3.75
Torino,Atalanta,1,1.93,3.27,4.24
Empoli,Fiorentina,1,3.38,3.29,2.21
Milan,Juventus,2,3.85,3.16,2.10
Chievo,Carpi,1,2.16,3.19,3.59
Sassuolo,Genoa,2,1.91,3.39,4.17
Frosinone,Inter,2,5.81,3.79,1.61
Bologna,Verona,2,1.83,3.46,4.71
Inter,Torino,2,1.73,3.68,4.90
Atalanta,Milan,1,3.48,3.20,2.21
Chievo,Palermo,1,2.18,3.26,3.53
Fiorentina,Sampdoria,X,1.60,3.95,5.68
Genoa,Frosinone,1,1.52,4.05,6.81
Lazio,Roma,2,3.69,3.27,2.10
Udinese,Napoli,1,6.69,4.22,1.50
Juventus,Empoli,1,1.29,5.13,11.75
Carpi,Sassuolo,2,3.29,3.09,2.33
Milan,Lazio,X,2.01,3.29,3.99
Napoli,Genoa,1,1.27,5.69,11.75
Frosinone,Fiorentina,X,5.44,3.95,1.62
Sampdoria,Chievo,2,1.82,3.46,4.63
Sassuolo,Udinese,X,1.99,3.36,3.96
Torino,Juventus,2,,,
Verona,Carpi,2,2.10,3.36,3.60
Atalanta,Bologna,1,2.20,3.04,3.71
Roma,Inter,X,1.84,3.50,4.53
Empoli,Palermo,X,1.70,3.66,5.13
Lazio,Atalanta,1,1.81,3.48,4.69
Palermo,Napoli,2,9.75,5.63,1.29
Carpi,Frosinone,1,1.80,3.46,4.71
Fiorentina,Verona,X,,,
Genoa,Torino,1,2.53,3.05,2.98
Udinese,Roma,2,4.48,3.58,1.82
Chievo,Milan,X,4.30,3.33,1.94
Inter,Bologna,1,1.59,3.78,6.31
Empoli,Sampdoria,X,2.21,3.20,3.49
Juventus,Sassuolo,1,1.34,4.73,10.75
Inter,Palermo,1,1.34,5.09,9.50
Atalanta,Juventus,2,8.94,4.00,1.44
Bologna,Carpi,X,2.04,3.14,4.07
Frosinone,Udinese,1,3.47,3.40,2.13
Genoa,Empoli,1,2.03,3.26,3.95
Sassuolo,Milan,1,2.89,3.22,2.54
