Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Crotone,Lazio,1,2.63,3.74,2.47
Fiorentina,Pescara,X,1.20,7.28,12.30
Inter,Udinese,1,1.37,5.12,7.63
Palermo,Empoli,1,5.73,4.32,1.54
Torino,Sassuolo,1,1.79,4.02,3.95
Roma,Genoa,1,1.05,13.10,35.80
Sampdoria,Napoli,2,11.11,6.51,1.24
Cagliari,Milan,1,3.51,3.92,1.95
Atalanta,Chievo,1,1.30,5.78,8.70
Bologna,Juventus,2,4.98,4.02,1.64
Pescara,Palermo,1,1.86,3.91,3.81
Lazio,Inter,2,1.63,4.41,4.54
Milan,Bologna,1,1.28,5.54,10.90
Empoli,Atalanta,2,2.74,3.28,2.61
Genoa,Torino,1,2.15,3.23,3.53
Juventus,Crotone,1,1.10,9.21,27.00
Sassuolo,Cagliari,1,1.74,3.99,4.34
Udinese,Sampdoria,X,2.01,3.48,3.69
Napoli,Fiorentina,1,1.20,7.33,12.18
Chievo,Roma,2,13.80,7.14,1.19
Roma,Juventus,1,2.40,3.40,2.98
Bologna,Pescara,1,1.68,3.94,5.00
Cagliari,Empoli,1,2.55,3.43,2.72
Crotone,Udinese,1,1.81,3.68,4.31
Palermo,Genoa,1,3.72,3.29,2.10
Sampdoria,Chievo,X,1.77,3.70,4.58
Torino,Napoli,2,6.17,4.82,1.47
Inter,Sassuolo,2,1.35,5.33,7.91
Atalanta,Milan,X,2.04,3.41,3.71
Fiorentina,Lazio,1,1.73,4.21,4.24
Milan,Roma,2,3.13,3.66,2.20
Chievo,Palermo,X,1.76,3.76,4.64
Empoli,Bologna,1,2.00,3.29,4.00
Genoa,Inter,1,3.94,3.75,1.89
Lazio,Sampdoria,1,1.27,6.12,9.97
Pescara,Crotone,2,4.13,3.81,1.83
Sassuolo,Fiorentina,X,3.34,3.73,2.08
Udinese,Atalanta,X,3.40,3.36,2.18
Juventus,Torino,X,1.45,4.63,6.97
Napoli,Cagliari,1,1.10,10.07,22.40
Inter,Napoli,2,3.11,3.71,2.19
Bologna,Udinese,1,2.44,3.20,3.03
Cagliari,Pescara,1,1.50,4.62,5.99
Crotone,Milan,X,4.34,3.76,1.80
Empoli,Sassuolo,2,2.04,3.43,3.69
Genoa,Chievo,2,1.60,4.04,5.62
Palermo,Fiorentina,1,6.68,4.58,1.47
Roma,Lazio,2,1.98,3.68,3.72
Torino,Sampdoria,X,1.52,4.57,5.77
Atalanta,Juventus,X,4.62,3.42,1.84
Pescara,Roma,2,12.70,7.06,1.20
Juventus,Genoa,1,1.17,7.02,17.00
Milan,Empoli,2,1.37,4.88,8.67
Chievo,Torino,2,3.27,3.59,2.14
Lazio,Palermo,1,1.16,7.76,17.38
Sampdoria,Crotone,2,1.92,3.46,4.13
Udinese,Cagliari,1,1.75,3.72,4.74
Sassuolo,Napoli,X,8.42,4.90,1.38
Fiorentina,Inter,1,2.70,3.47,2.55
Atalanta,Bologna,1,1.35,4.99,9.13
Napoli,Udinese,1,1.21,6.67,14.40
Sassuolo,Sampdoria,1,2.25,3.48,3.13
Roma,Atalanta,X,1.45,4.52,7.07
Cagliari,Chievo,1,2.07,3.45,3.64
Fiorentina,Empoli,2,1.36,4.96,8.69
Genoa,Lazio,X,5.43,4.11,1.61
Palermo,Bologna,X,2.75,3.21,2.67
Pescara,Juventus,2,12.40,6.22,1.24
Torino,Crotone,X,1.55,4.26,5.91
Inter,Milan,X,2.09,3.56,3.49
Lazio,Napoli,2,2.89,3.49,2.41
Milan,Palermo,1,1.24,5.97,11.94
Bologna,Roma,2,7.48,4.58,1.43
Cagliari,Torino,2,3.02,3.62,2.27
Crotone,Inter,1,7.60,4.66,1.42
Udinese,Genoa,1,1.92,3.42,4.21
Sampdoria,Fiorentina,X,3.27,3.40,2.21
Juventus,Chievo,1,1.20,6.46,15.10
Atalanta,Sassuolo,X,1.47,4.43,6.95
Empoli,Pescara,X,1.91,3.71,3.85
Inter,Sampdoria,2,1.31,5.59,9.35
Napoli,Juventus,X,2.67,3.16,2.79
Chievo,Crotone,2,1.79,3.50,4.95
Fiorentina,Bologna,1,1.51,4.25,6.69
Genoa,Atalanta,2,3.78,3.46,2.00
Palermo,Cagliari,2,2.49,3.25,2.96
Pescara,Milan,X,5.66,4.40,1.55
Torino,Udinese,X,1.76,3.73,4.75
Roma,Empoli,1,1.18,7.40,17.08
Sassuolo,Lazio,2,4.62,3.97,1.73
Roma,Sassuolo,1,1.28,6.08,10.25
Udinese,Palermo,1,1.57,4.01,6.21
Atalanta,Pescara,1,1.26,6.16,11.00
Bologna,Chievo,1,2.23,3.19,3.49
Cagliari,Lazio,X,6.21,4.28,1.53
Crotone,Fiorentina,2,4.61,3.60,1.81
Sampdoria,Juventus,2,7.06,4.21,1.49
Empoli,Napoli,2,9.06,4.98,1.36
Milan,Genoa,1,1.63,3.93,5.69
Torino,Inter,X,3.96,3.79,1.87
Lazio,Torino,1,1.51,4.44,6.31
Palermo,Roma,2,8.16,4.84,1.38
Chievo,Empoli,1,1.99,3.24,4.21
Fiorentina,Cagliari,1,1.40,4.76,7.99
Inter,Atalanta,1,1.84,3.56,4.42
Napoli,Crotone,1,1.15,8.00,18.75
Pescara,Udinese,2,2.90,3.53,2.35
Sassuolo,Bologna,2,1.94,3.45,4.20
Genoa,Sampdoria,2,2.53,3.16,2.98
Juventus,Milan,1,1.42,4.59,8.25
Bologna,Lazio,2,4.98,3.72,1.73
Cagliari,Inter,2,5.24,3.88,1.67
Crotone,Sassuolo,X,3.06,3.25,2.41
Empoli,Genoa,2,2.80,3.06,2.76
Torino,Palermo,1,1.46,4.43,6.84
Udinese,Juventus,X,8.06,4.14,1.47
Atalanta,Fiorentina,X,2.02,3.48,3.78
Milan,Chievo,1,1.60,4.06,5.75
Sampdoria,Pescara,1,1.64,4.21,5.06
Roma,Napoli,2,2.12,3.59,3.34
Fiorentina,Torino,X,1.83,3.80,4.18
Inter,Roma,2,2.52,3.45,2.81
Chievo,Pescara,1,1.94,3.68,3.86
Crotone,Cagliari,2,2.60,3.20,2.86
Genoa,Bologna,X,2.02,3.29,4.04
Lazio,Udinese,1,1.48,4.31,7.25
Sassuolo,Milan,2,2.75,3.36,2.58
Palermo,Sampdoria,X,3.06,3.27,2.38
Juventus,Empoli,1,1.17,6.88,20.00
Napoli,Atalanta,2,1.59,3.94,6.00
Milan,Fiorentina,1,2.12,3.43,3.51
Roma,Torino,1,1.36,5.03,8.75
Chievo,Napoli,2,7.06,4.23,1.48
Pescara,Genoa,1,3.13,3.54,2.24
Sampdoria,Cagliari,X,1.71,3.78,5.01
Udinese,Sassuolo,2,2.17,3.28,3.53
Bologna,Inter,2,5.56,3.63,1.69
Empoli,Lazio,2,5.41,3.72,1.68
Atalanta,Crotone,1,1.27,5.51,12.50
Juventus,Palermo,1,1.15,7.88,20.13
Lazio,Milan,X,1.63,3.96,5.34
Cagliari,Juventus,2,10.88,5.03,1.32
Sampdoria,Bologna,1,1.98,3.39,3.97
Inter,Empoli,1,1.29,5.36,11.00
Palermo,Atalanta,2,4.88,3.63,1.76
Sassuolo,Chievo,2,1.94,3.44,4.10
Torino,Pescara,1,1.43,4.53,7.69
Crotone,Roma,2,8.63,4.93,1.36
Fiorentina,Udinese,1,1.73,3.71,5.00
Napoli,Genoa,1,1.27,5.89,11.38
Bologna,Milan,2,3.46,3.25,2.20
Crotone,Juventus,2,12.25,5.26,1.27
Roma,Fiorentina,1,1.60,3.99,5.71
Juventus,Inter,1,1.61,3.79,6.35
Palermo,Crotone,1,2.33,3.20,3.28
Atalanta,Cagliari,1,1.40,4.70,8.31
Chievo,Udinese,X,2.77,3.06,2.76
Empoli,Torino,X,3.48,3.39,2.13
Genoa,Sassuolo,2,2.04,3.48,3.68
Pescara,Lazio,2,5.84,4.10,1.57
Milan,Sampdoria,2,1.75,3.73,4.98
Bologna,Napoli,2,6.73,4.14,1.52
Pescara,Fiorentina,2,3.72,3.44,2.04
Napoli,Palermo,X,1.12,9.31,20.25
Cagliari,Bologna,X,2.40,3.26,3.09
Crotone,Empoli,1,2.43,3.10,3.19
Fiorentina,Genoa,X,1.69,3.79,5.16
Sampdoria,Roma,1,4.75,3.85,1.73
Sassuolo,Juventus,2,8.56,4.45,1.42
Udinese,Milan,1,3.26,3.27,2.29
Torino,Atalanta,X,2.38,3.29,3.09
Inter,Pescara,1,1.21,6.41,13.50
Lazio,Chievo,2,1.48,4.13,7.75
Roma,Cagliari,1,1.22,6.81,12.25
Atalanta,Sampdoria,1,1.69,3.74,5.29
Bologna,Torino,1,2.87,3.19,2.58
Empoli,Udinese,1,2.70,3.09,2.84
Genoa,Crotone,X,1.52,4.05,7.13
Palermo,Inter,2,7.00,4.22,1.50
Pescara,Sassuolo,2,2.96,3.44,2.38
Juventus,Lazio,1,1.55,3.95,6.81
Milan,Napoli,2,3.44,3.51,2.12
Chievo,Fiorentina,2,3.75,3.26,2.09
Torino,Milan,X,2.46,3.29,2.96
Fiorentina,Juventus,1,5.10,3.51,1.77
Lazio,Atalanta,1,2.05,3.29,3.84
Napoli,Pescara,1,1.15,7.94,19.75
Sampdoria,Empoli,X,1.76,3.60,5.03
Sassuolo,Palermo,1,1.73,3.65,5.18
Udinese,Roma,2,4.41,3.64,1.83
Cagliari,Genoa,1,2.94,3.29,2.47
Inter,Chievo,1,1.45,4.38,7.69
Crotone,Bologna,2,2.96,3.05,2.63
Juventus,Bologna,1,1.22,6.31,14.63
Milan,Cagliari,1,1.36,5.06,8.88
Chievo,Atalanta,2,3.31,3.15,2.33
Genoa,Roma,2,3.78,3.60,1.98
Lazio,Crotone,1,1.28,5.64,11.25
Sassuolo,Torino,X,2.90,3.36,2.46
Udinese,Inter,2,3.86,3.49,1.99
Napoli,Sampdoria,1,1.27,6.00,11.06
Empoli,Palermo,1,2.01,3.24,4.11
Roma,Chievo,1,1.34,5.01,9.84
Cagliari,Sassuolo,1,2.42,3.39,2.98
Fiorentina,Napoli,X,4.23,3.72,1.83
Palermo,Pescara,X,2.24,3.10,3.57
Sampdoria,Udinese,X,1.95,3.49,4.03
Torino,Genoa,1,1.81,3.69,4.50
Inter,Lazio,1,2.10,3.46,3.56
Atalanta,Empoli,1,1.50,4.17,7.06
Genoa,Palermo,2,1.52,3.98,7.31
Lazio,Fiorentina,1,1.81,3.72,4.32
Chievo,Sampdoria,1,2.20,3.23,3.53
