Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Bologna,Torino,X,1.81,4.16,3.86
Genoa,Verona,1,1.61,4.35,4.87
Lecce,Parma,2,1.53,4.88,5.06
Sassuolo,Udinese,2,1.80,4.26,3.84
Spal,Fiorentina,2,6.84,4.79,1.43
Milan,Cagliari,1,1.24,6.42,11.17
Atalanta,Inter,2,2.59,3.65,2.55
Juventus,Roma,2,2.29,3.75,2.88
Napoli,Lazio,1,2.08,3.81,3.26
Brescia,Sampdoria,X,3.76,3.91,1.88
Cagliari,Juventus,1,6.36,4.46,1.49
Fiorentina,Bologna,1,1.95,3.74,3.65
Torino,Roma,2,8.70,5.65,1.31
Lazio,Brescia,1,1.08,11.55,25.33
Sampdoria,Milan,2,8.08,5.13,1.37
Sassuolo,Genoa,1,2.19,3.53,3.21
Udinese,Lecce,2,2.31,3.69,2.88
Verona,Spal,1,1.55,4.33,5.76
Inter,Napoli,1,2.06,3.64,3.48
Parma,Atalanta,2,7.44,5.36,1.37
Juventus,Sampdoria,1,1.25,5.86,11.83
Roma,Fiorentina,1,1.51,4.50,5.86
Cagliari,Udinese,2,3.48,3.20,2.22
Spal,Torino,X,5.44,4.21,1.59
Verona,Lazio,2,3.85,3.65,1.93
Bologna,Lecce,1,2.12,3.79,3.16
Napoli,Sassuolo,1,1.59,4.28,5.25
Genoa,Inter,2,7.16,4.54,1.44
Brescia,Parma,2,4.65,4.13,1.68
Milan,Atalanta,X,3.03,3.78,2.19
Lazio,Cagliari,1,1.33,5.32,8.99
Udinese,Juventus,1,6.12,4.12,1.55
Inter,Fiorentina,X,1.43,4.83,6.86
Lecce,Brescia,1,1.62,4.43,4.76
Sampdoria,Genoa,2,2.65,3.14,2.81
Spal,Roma,2,9.92,6.08,1.27
Torino,Verona,X,2.48,3.34,2.87
Parma,Napoli,1,7.67,5.01,1.39
Sassuolo,Milan,2,4.31,4.09,1.74
Atalanta,Bologna,1,1.29,5.99,9.11
Juventus,Lazio,1,1.48,4.54,6.54
Roma,Inter,X,3.47,3.81,2.00
Brescia,Spal,1,2.16,3.53,3.29
Fiorentina,Torino,1,1.85,3.49,4.45
Genoa,Lecce,1,1.86,3.77,3.99
Napoli,Udinese,1,1.54,4.10,6.30
Parma,Sampdoria,2,3.06,2.94,2.58
Milan,Bologna,1,1.50,4.62,6.01
Cagliari,Sassuolo,X,3.65,3.86,1.92
Verona,Atalanta,X,6.98,5.04,1.41
Spal,Inter,2,12.67,6.50,1.22
Torino,Genoa,1,2.32,3.20,3.27
Roma,Verona,1,1.66,4.04,4.98
Lecce,Fiorentina,2,3.30,3.52,2.15
Sassuolo,Juventus,X,4.96,4.15,1.65
Udinese,Lazio,X,3.75,3.48,2.01
Milan,Parma,1,1.41,4.78,7.51
Bologna,Napoli,X,4.49,3.78,1.77
Sampdoria,Cagliari,1,1.81,3.66,4.41
Atalanta,Brescia,1,1.13,8.83,18.33
Inter,Torino,1,1.38,4.92,8.17
Napoli,Milan,X,2.21,3.43,3.27
Cagliari,Lecce,X,1.99,3.72,3.59
Fiorentina,Verona,X,2.11,3.41,3.55
Parma,Bologna,X,3.35,3.38,2.18
Udinese,Sampdoria,2,2.20,2.99,3.81
Genoa,Spal,1,1.74,3.80,4.69
Juventus,Atalanta,X,2.14,3.61,3.32
Brescia,Roma,2,5.51,4.59,1.54
Lazio,Sassuolo,2,1.52,4.64,5.66
Verona,Inter,X,5.64,4.24,1.57
Spal,Udinese,2,3.80,3.35,2.05
Roma,Parma,1,1.63,4.13,5.10
Atalanta,Sampdoria,1,1.29,5.99,9.14
Bologna,Sassuolo,2,2.33,3.56,2.93
Torino,Brescia,1,1.59,3.96,5.80
Fiorentina,Cagliari,X,1.73,3.76,4.85
Genoa,Napoli,2,5.22,3.94,1.65
Milan,Juventus,1,3.15,3.37,2.29
Lecce,Lazio,1,7.50,5.17,1.38
Napoli,Roma,1,1.86,3.74,4.08
Brescia,Verona,1,4.44,3.58,1.83
Cagliari,Atalanta,2,5.31,4.69,1.55
Parma,Fiorentina,2,3.03,3.27,2.42
Sampdoria,Spal,1,1.68,3.80,5.14
Udinese,Genoa,X,2.04,3.29,3.84
Inter,Bologna,2,1.39,4.95,7.76
Lazio,Milan,2,2.12,3.44,3.49
Sassuolo,Lecce,1,1.55,4.63,5.25
Juventus,Torino,1,1.30,5.41,10.64
Roma,Udinese,2,1.84,3.66,4.29
Atalanta,Napoli,1,2.13,3.67,3.23
Fiorentina,Sassuolo,2,1.78,3.85,4.33
Lecce,Sampdoria,2,3.30,3.53,2.15
Spal,Milan,X,7.50,4.30,1.46
Verona,Parma,1,2.16,3.32,3.48
Bologna,Cagliari,X,2.03,3.53,3.67
Inter,Brescia,1,1.19,6.93,14.88
Genoa,Juventus,2,9.45,4.52,1.38
Torino,Lazio,2,4.73,3.82,1.73
Parma,Inter,2,7.00,4.19,1.49
Napoli,Spal,1,1.30,5.49,10.23
Sampdoria,Bologna,2,2.79,3.24,2.62
Sassuolo,Verona,X,2.40,3.27,3.07
Udinese,Atalanta,2,6.05,4.14,1.56
Milan,Roma,1,2.47,3.31,2.93
Lazio,Fiorentina,1,1.77,3.74,4.57
Cagliari,Torino,1,2.42,3.22,3.05
Brescia,Genoa,X,3.50,3.48,2.09
Juventus,Lecce,1,1.12,8.96,21.00
Roma,Sampdoria,1,1.52,4.31,6.25
Atalanta,Lazio,1,2.23,3.64,3.05
Inter,Sassuolo,X,1.44,4.58,7.22
Genoa,Parma,2,2.21,3.23,3.47
Torino,Udinese,1,2.61,3.07,2.92
Spal,Cagliari,2,2.52,3.18,2.92
Verona,Napoli,2,4.38,3.41,1.89
Bologna,Juventus,2,6.09,4.00,1.58
Fiorentina,Brescia,X,1.35,4.95,9.32
Lecce,Milan,2,6.30,4.37,1.51
Inter,Sampdoria,1,1.35,4.95,9.05
Atalanta,Sassuolo,1,1.47,4.74,6.24
Verona,Cagliari,1,1.95,3.38,4.13
Torino,Parma,X,2.34,3.20,3.22
Sassuolo,Brescia,1,1.53,4.53,5.84
Juventus,Inter,1,2.13,3.29,3.66
Udinese,Fiorentina,X,2.86,3.09,2.66
