Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Atalanta,Fiorentina,2,1.57,4.38,5.23
Empoli,Roma,1,2.17,3.54,3.13
Frosinone,Udinese,2,2.51,3.02,3.00
Lazio,Sassuolo,X,1.31,5.45,8.83
Verona,Inter,X,6.75,4.97,1.41
Atalanta,Torino,1,2.44,3.50,2.71
Napoli,Lecce,X,1.35,5.23,7.73
Milan,Salernitana,X,1.11,9.79,18.11
Juventus,Monza,1,1.52,4.44,5.64
Genoa,Bologna,1,2.85,3.18,2.54
Cagliari,Fiorentina,2,4.74,3.82,1.70
Bologna,Juventus,X,2.72,3.04,2.77
Salernitana,Verona,2,5.10,3.88,1.66
Roma,Genoa,1,1.45,4.43,6.92
Inter,Lazio,X,1.54,4.36,5.55
Monza,Frosinone,2,2.97,3.46,2.30
Udinese,Empoli,X,1.93,3.19,4.33
Sassuolo,Cagliari,2,2.48,3.30,2.86
Torino,Milan,1,2.55,3.08,2.95
Lecce,Atalanta,2,3.68,3.55,1.98
Fiorentina,Napoli,X,2.10,3.42,3.45
Fiorentina,Monza,1,1.49,4.38,6.22
Lecce,Udinese,2,3.07,2.99,2.48
Atalanta,Roma,1,1.87,3.71,3.96
Juventus,Salernitana,X,1.14,8.46,16.45
Genoa,Sassuolo,1,2.29,3.33,3.13
Verona,Torino,2,3.08,2.86,2.59
Lazio,Empoli,1,1.64,3.78,5.55
Milan,Cagliari,1,1.57,4.26,5.45
Napoli,Bologna,2,1.92,3.38,4.17
Frosinone,Inter,2,4.23,3.88,1.77
Udinese,Napoli,X,3.79,3.68,1.91
Salernitana,Atalanta,2,10.10,5.93,1.27
Roma,Juventus,X,2.91,3.14,2.57
Milan,Genoa,X,1.42,4.78,7.01
Empoli,Frosinone,X,2.47,3.17,2.97
Verona,Fiorentina,1,3.39,3.19,2.24
Cagliari,Lecce,X,2.13,3.14,3.72
Sassuolo,Inter,1,5.94,4.55,1.49
Monza,Lazio,X,4.48,3.60,1.80
Torino,Bologna,X,2.78,2.89,2.85
Genoa,Cagliari,1,2.17,3.15,3.62
Fiorentina,Sassuolo,1,1.56,4.11,5.66
Atalanta,Empoli,1,1.46,4.46,6.82
Napoli,Roma,X,1.95,3.54,3.84
Bologna,Udinese,X,1.62,3.70,5.94
Inter,Torino,1,1.55,3.95,6.19
Lazio,Verona,1,1.60,3.92,5.66
Juventus,Milan,X,2.15,3.21,3.63
Lecce,Monza,X,1.99,3.25,4.02
Frosinone,Salernitana,1,1.36,4.98,8.12
Udinese,Roma,2,6.06,1.79,3.00
Milan,Inter,2,3.75,3.39,2.03
Roma,Bologna,2,2.34,2.92,3.50
Monza,Atalanta,2,3.93,3.68,1.89
Salernitana,Fiorentina,2,5.50,4.06,1.59
Torino,Frosinone,X,1.68,3.70,5.17
Sassuolo,Lecce,2,2.28,3.25,3.24
Verona,Udinese,1,2.75,2.90,2.88
Empoli,Napoli,1,5.00,3.96,1.66
Cagliari,Juventus,X,4.67,3.38,1.83
Genoa,Lazio,2,3.12,3.06,2.44
Atalanta,Verona,X,1.45,4.60,6.95
Fiorentina,Genoa,X,1.82,3.42,4.67
Inter,Cagliari,X,1.17,7.35,15.50
Sassuolo,Milan,X,4.38,3.86,1.75
Napoli,Frosinone,X,1.32,5.55,8.53
Bologna,Monza,X,1.51,3.99,6.78
Torino,Juventus,X,3.72,2.86,2.29
Lecce,Empoli,1,2.15,2.94,3.97
Lazio,Salernitana,1,1.32,5.15,9.52
Udinese,Inter,2,7.83,4.68,1.40
Juventus,Fiorentina,1,1.73,3.52,5.18
Cagliari,Atalanta,1,4.74,3.74,1.74
Verona,Genoa,2,2.66,2.88,3.00
Monza,Napoli,2,4.45,3.74,1.78
Frosinone,Bologna,X,4.20,3.47,1.89
Empoli,Torino,1,3.63,3.12,2.18
Roma,Lazio,1,2.10,3.15,3.82
Milan,Lecce,1,1.33,5.20,9.05
Salernitana,Sassuolo,X,3.20,3.46,2.20
Inter,Empoli,1,1.17,7.54,14.90
Lecce,Roma,X,3.84,3.05,2.14
Cagliari,Verona,X,2.15,3.08,3.78
Sassuolo,Udinese,X,2.83,3.20,2.57
Bologna,Salernitana,1,1.28,5.53,11.24
Fiorentina,Milan,2,3.03,3.31,2.38
Lazio,Juventus,1,3.27,3.06,2.37
Genoa,Frosinone,X,1.90,3.49,4.09
Torino,Monza,1,1.87,3.28,4.63
Napoli,Atalanta,2,2.14,3.47,3.34
Inter,Napoli,X,1.54,4.22,5.87
Roma,Sassuolo,1,1.40,4.70,7.94
Verona,Milan,2,5.84,3.86,1.60
Juventus,Genoa,X,1.48,4.06,7.51
Frosinone,Lazio,2,3.27,3.37,2.21
Salernitana,Lecce,2,3.45,3.20,2.21
Monza,Cagliari,1,1.98,3.44,3.83
Udinese,Torino,2,2.94,2.90,2.70
Empoli,Bologna,2,4.02,3.18,2.03
Lazio,Udinese,2,1.86,3.40,4.50
Fiorentina,Roma,X,2.55,3.22,2.85
Juventus,Atalanta,X,2.24,3.17,3.41
Milan,Empoli,1,1.41,4.62,7.76
Lecce,Verona,2,2.17,3.10,3.69
Genoa,Monza,2,2.12,3.14,3.74
Bologna,Inter,2,3.76,3.24,2.09
Cagliari,Salernitana,1,1.83,3.54,4.44
Sassuolo,Frosinone,1,2.37,3.42,2.92
Napoli,Torino,X,1.70,3.60,5.32
Inter,Genoa,1,1.25,5.85,12.50
Napoli,Juventus,1,2.28,3.13,3.39
Atalanta,Bologna,2,2.01,3.42,3.80
Empoli,Cagliari,2,2.24,3.26,3.35
Frosinone,Lecce,X,2.31,3.24,3.19
Verona,Sassuolo,1,2.36,3.32,3.02
Torino,Fiorentina,X,2.55,2.97,3.08
Monza,Roma,2,3.75,3.34,2.05
Udinese,Salernitana,X,1.66,3.71,5.54
Lazio,Milan,2,3.24,3.18,2.32
Inter,Atalanta,1,1.61,3.95,5.56
Sassuolo,Napoli,2,4.24,3.86,1.79
Fiorentina,Lazio,1,2.13,3.22,3.64
Roma,Torino,1,1.97,3.20,4.31
Milan,Atalanta,X,2.35,3.42,2.97
Lecce,Inter,2,6.87,4.32,1.47
Cagliari,Napoli,X,4.39,3.72,1.79
Juventus,Frosinone,1,1.31,5.43,9.34
Genoa,Udinese,1,2.46,2.91,3.25
Salernitana,Monza,2,3.26,3.19,2.30
Sassuolo,Empoli,2,2.23,3.31,3.27
Bologna,Verona,1,1.59,3.71,6.36
Torino,Lazio,2,2.72,2.88,2.91
Monza,Milan,1,4.87,3.56,1.74
Frosinone,Roma,2,3.61,3.56,1.99
Empoli,Fiorentina,X,3.61,3.30,2.09
Udinese,Cagliari,X,1.85,3.45,4.36
Lazio,Bologna,2,2.48,2.97,3.13
Atalanta,Sassuolo,1,1.31,5.52,8.91
Verona,Juventus,X,5.76,3.48,1.67
Napoli,Genoa,X,1.71,3.59,5.21
Inter,Salernitana,1,1.12,9.14,20.56
Torino,Lecce,1,1.84,3.31,4.77
Bologna,Fiorentina,1,2.47,3.08,3.07
Juventus,Udinese,2,1.44,4.22,8.04
Milan,Napoli,1,1.94,3.48,3.93
Genoa,Atalanta,2,3.97,3.26,2.00
Bologna,Lecce,1,1.65,3.61,5.73
Monza,Verona,X,2.24,3.13,3.42
Fiorentina,Frosinone,1,1.52,4.36,5.90
Sassuolo,Torino,X,3.30,3.22,2.25
Roma,Inter,2,4.36,3.52,1.84
Cagliari,Lazio,2,3.57,3.24,2.13
Salernitana,Empoli,2,2.35,3.11,3.21
Roma,Cagliari,1,1.46,4.32,7.16
Inter,Juventus,1,1.83,3.42,4.65
Atalanta,Lazio,1,2.01,3.28,3.91
Napoli,Verona,1,1.44,4.42,7.53
Torino,Salernitana,X,1.56,3.85,6.40
Bologna,Sassuolo,1,1.61,3.82,5.71
Frosinone,Milan,2,4.52,3.93,1.73
Empoli,Genoa,X,2.89,2.90,2.73
Udinese,Monza,X,2.11,3.21,3.67
Lecce,Fiorentina,1,3.55,3.16,2.19
Salernitana,Roma,2,5.24,3.66,1.69
Fiorentina,Inter,2,4.46,3.43,1.86
Lazio,Napoli,X,2.36,3.01,3.34
Monza,Sassuolo,1,2.16,3.33,3.36
Verona,Frosinone,X,2.22,3.30,3.32
Genoa,Lecce,1,2.11,3.05,3.89
Milan,Bologna,X,1.71,3.57,5.24
Juventus,Empoli,X,1.26,5.47,12.22
Atalanta,Udinese,1,1.48,4.38,6.53
Cagliari,Torino,2,3.71,3.02,2.19
Lecce,Juventus,2,5.22,3.36,1.76
Salernitana,Genoa,2,3.22,2.99,2.44
Empoli,Monza,1,2.64,3.22,2.74
Frosinone,Cagliari,1,2.33,3.36,3.04
Udinese,Milan,2,4.03,3.60,1.88
Roma,Verona,1,1.44,4.35,7.58
Juventus,Sassuolo,1,1.40,4.81,7.52
Atalanta,Frosinone,1,1.39,4.93,7.68
Milan,Roma,1,2.09,3.19,3.83
Fiorentina,Udinese,X,1.63,3.80,5.58
Cagliari,Bologna,1,3.21,3.01,2.43
Lazio,Lecce,1,1.60,3.75,6.13
Monza,Inter,2,7.90,4.85,1.38
Verona,Empoli,1,2.16,3.27,3.48
Genoa,Torino,X,3.15,2.88,2.56
Napoli,Salernitana,1,1.31,5.40,9.54
Roma,Atalanta,X,2.26,3.11,3.39
Salernitana,Juventus,2,6.99,4.16,1.49
Torino,Napoli,1,2.61,3.08,2.87
Udinese,Lazio,2,3.42,3.12,2.26
Empoli,Milan,2,5.24,3.98,1.63
Sassuolo,Fiorentina,1,3.29,3.53,2.13
Lecce,Cagliari,X,2.21,3.15,3.51
Frosinone,Monza,2,2.46,3.37,2.83
Inter,Verona,1,1.17,7.65,14.65
Bologna,Genoa,X,2.28,2.93,3.63
Juventus,Roma,1,2.11,2.95,4.11
Milan,Sassuolo,1,1.51,4.69,5.58
Verona,Salernitana,2,1.89,3.41,4.26
Cagliari,Empoli,X,2.04,3.47,3.58
Udinese,Bologna,1,3.51,3.01,2.27
Atalanta,Lecce,1,1.35,4.95,8.49
Genoa,Inter,X,5.99,3.65,1.63
Lazio,Frosinone,1,1.59,3.95,5.77
Fiorentina,Torino,1,2.13,3.11,3.76
Napoli,Monza,X,1.56,4.15,5.74
Roma,Napoli,1,2.86,3.05,2.65
Inter,Lecce,1,1.27,5.61,11.24
