Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Lazio,Inter,2,2.56,3.54,2.61
Sassuolo,Roma,2,4.49,3.81,1.75
Milan,Fiorentina,1,1.67,4.00,4.85
Cagliari,Atalanta,1,3.11,3.56,2.22
Chievo,Benevento,1,1.70,3.96,4.68
Napoli,Crotone,1,1.39,5.48,6.81
Spal,Sampdoria,1,1.76,3.69,4.65
Udinese,Bologna,1,1.48,4.31,6.73
Genoa,Torino,2,2.19,3.63,3.13
Juventus,Verona,1,1.09,10.13,26.25
Roma,Juventus,X,2.82,2.90,2.79
Sampdoria,Napoli,2,5.60,4.57,1.52
Atalanta,Milan,X,2.16,2.95,3.99
Bologna,Chievo,2,2.28,3.00,3.41
Crotone,Lazio,X,4.25,3.44,1.90
Fiorentina,Cagliari,2,1.54,4.24,5.90
Torino,Spal,1,1.89,3.46,4.22
Verona,Udinese,2,7.88,4.85,1.38
Inter,Sassuolo,2,1.18,7.13,14.25
Benevento,Genoa,1,2.15,3.60,3.22
Cagliari,Roma,2,7.26,4.58,1.43
Sassuolo,Sampdoria,1,2.21,3.46,3.21
Chievo,Crotone,1,2.19,3.09,3.65
Genoa,Fiorentina,2,3.85,3.50,1.97
Lazio,Atalanta,X,1.92,3.59,3.93
Napoli,Torino,X,1.21,6.56,12.38
Spal,Benevento,1,1.48,4.37,6.60
Udinese,Inter,2,4.43,3.65,1.81
Juventus,Bologna,1,1.12,8.56,24.50
Milan,Verona,1,1.11,10.00,22.00
Torino,Lazio,2,5.03,3.95,1.66
Fiorentina,Napoli,1,7.25,4.43,1.45
Atalanta,Genoa,1,1.34,4.86,9.63
Benevento,Udinese,X,2.88,3.32,2.44
Bologna,Milan,2,5.51,3.77,1.65
Sampdoria,Cagliari,1,1.93,3.51,4.03
Verona,Spal,2,3.30,3.21,2.28
Crotone,Sassuolo,1,2.27,3.22,3.30
Inter,Juventus,2,3.03,3.10,2.51
Roma,Chievo,1,1.31,5.20,10.50
Genoa,Verona,1,1.42,4.36,8.13
Juventus,Napoli,2,2.25,3.20,3.39
Atalanta,Torino,1,1.54,4.13,6.23
Chievo,Inter,2,7.63,4.13,1.46
Lazio,Sampdoria,1,1.35,5.21,8.31
Udinese,Crotone,2,1.91,3.25,4.46
Cagliari,Bologna,X,1.94,3.32,4.24
Milan,Benevento,2,1.21,6.38,13.13
Sassuolo,Fiorentina,1,2.91,3.21,2.48
Spal,Roma,2,4.88,3.69,1.74
Roma,Genoa,1,1.33,4.96,10.06
Crotone,Juventus,X,11.13,4.98,1.31
Fiorentina,Lazio,2,2.84,3.40,2.44
Napoli,Udinese,1,1.20,6.40,15.63
Sampdoria,Bologna,1,1.69,3.75,4.99
Spal,Chievo,X,2.20,3.04,3.76
Torino,Milan,X,3.11,3.30,2.33
Verona,Sassuolo,2,4.32,3.46,1.87
Benevento,Atalanta,2,6.13,4.31,1.52
Inter,Cagliari,1,1.20,6.50,15.38
Lazio,Roma,X,2.51,3.31,2.82
Juventus,Sampdoria,1,1.29,5.23,12.00
Milan,Napoli,X,4.23,3.54,1.87
Bologna,Verona,1,1.58,3.84,6.19
Sassuolo,Benevento,X,1.65,3.95,5.11
Fiorentina,Spal,X,1.47,4.15,7.50
Atalanta,Inter,X,2.56,3.24,2.79
Chievo,Torino,X,3.46,3.31,2.16
Genoa,Crotone,1,1.83,3.24,4.91
Cagliari,Udinese,1,2.37,3.10,3.22
Milan,Sassuolo,X,1.44,4.32,7.44
Udinese,Lazio,2,5.20,3.89,1.65
Crotone,Bologna,1,2.39,3.14,3.20
Napoli,Chievo,1,1.14,8.00,19.88
Verona,Cagliari,1,3.03,3.24,2.40
Torino,Inter,1,4.05,3.63,1.91
Sampdoria,Genoa,X,2.45,3.19,3.00
Roma,Fiorentina,2,1.83,3.53,4.48
Spal,Atalanta,X,4.64,3.57,1.79
Benevento,Juventus,2,12.25,5.15,1.29
Milan,Inter,X,2.75,3.14,2.69
Chievo,Sassuolo,X,2.98,2.94,2.64
Torino,Crotone,1,1.56,3.93,6.29
Benevento,Verona,1,1.80,3.81,4.23
Atalanta,Sampdoria,2,1.36,4.85,8.88
Genoa,Cagliari,1,1.82,3.28,4.98
Udinese,Fiorentina,2,3.36,3.26,2.18
Juventus,Milan,1,1.63,3.60,6.19
Chievo,Sampdoria,1,2.27,3.25,3.27
Sassuolo,Napoli,X,8.06,4.51,1.41
Atalanta,Udinese,1,1.42,4.38,8.19
Cagliari,Torino,2,3.04,3.29,2.38
Fiorentina,Crotone,1,1.51,4.10,6.81
Genoa,Spal,X,1.86,3.22,4.81
Inter,Verona,1,1.14,8.13,17.63
Lazio,Benevento,1,1.22,6.38,13.00
Bologna,Roma,X,6.13,4.25,1.54
Lazio,Bologna,X,1.32,5.25,10.00
Napoli,Genoa,1,1.21,6.13,16.25
Benevento,Cagliari,2,2.26,3.35,3.24
Milan,Chievo,1,1.38,4.60,9.56
Crotone,Roma,2,6.14,4.09,1.56
Torino,Fiorentina,2,2.56,3.25,2.84
Verona,Atalanta,2,8.94,4.68,1.38
Sampdoria,Inter,2,3.89,3.56,1.94
Spal,Juventus,X,11.88,4.83,1.32
Udinese,Sassuolo,2,2.14,3.22,3.61
Juventus,Atalanta,1,1.40,4.27,9.69
Inter,Napoli,X,3.88,3.46,1.98
Genoa,Milan,2,3.36,3.07,2.32
Bologna,Atalanta,2,4.40,3.45,1.87
Cagliari,Lazio,X,6.14,4.16,1.53
Crotone,Sampdoria,1,2.80,3.20,2.61
