Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Roma,Parma,1,1.15,9.00,14.00
Atalanta,Sassuolo,1,1.25,6.25,10.50
Cagliari,Udinese,2,1.87,3.78,3.95
Fiorentina,Genoa,X,2.23,2.58,3.63
Inter,Empoli,1,1.28,6.15,9.50
Spal,Milan,2,5.13,4.27,1.59
Sampdoria,Juventus,1,3.00,3.50,2.30
Torino,Lazio,1,2.25,3.55,3.05
Bologna,Napoli,1,3.05,3.75,2.20
Frosinone,Chievo,X,2.00,3.73,3.50
Lazio,Bologna,X,2.47,2.86,3.38
Juventus,Atalanta,X,2.23,3.17,3.48
Napoli,Inter,1,2.43,3.25,2.98
Milan,Frosinone,1,1.16,7.83,16.33
Empoli,Torino,1,3.05,3.68,2.21
Parma,Fiorentina,1,3.62,3.12,2.19
Chievo,Sampdoria,X,3.80,3.93,1.86
Sassuolo,Roma,X,4.90,4.38,1.62
Genoa,Cagliari,X,1.54,3.95,6.58
Udinese,Spal,1,1.57,4.00,6.17
Inter,Chievo,1,1.12,8.25,22.00
Bologna,Parma,1,1.69,3.25,6.50
Roma,Juventus,1,2.65,3.45,2.62
Spal,Napoli,2,5.13,4.10,1.64
Frosinone,Udinese,2,3.68,3.35,2.10
Sampdoria,Empoli,2,2.18,3.80,3.05
Torino,Sassuolo,1,1.54,4.20,6.25
Fiorentina,Milan,2,2.90,3.35,2.43
Cagliari,Lazio,2,4.25,3.80,1.80
Atalanta,Genoa,1,1.59,3.80,6.50
Milan,Bologna,1,1.82,3.40,4.92
Napoli,Cagliari,1,1.21,7.00,11.83
Genoa,Roma,X,3.27,3.35,2.26
Lazio,Atalanta,2,2.39,3.55,2.87
Parma,Sampdoria,X,3.03,3.25,2.42
Sassuolo,Frosinone,X,1.61,4.00,5.48
Empoli,Fiorentina,1,2.46,3.63,2.71
Udinese,Inter,X,5.20,3.90,1.66
Chievo,Spal,2,3.50,3.10,2.25
Juventus,Torino,X,1.60,3.82,6.10
Fiorentina,Sassuolo,2,1.59,4.10,5.63
Atalanta,Udinese,1,1.37,4.72,8.67
Torino,Milan,1,2.76,3.03,2.78
Sampdoria,Lazio,2,3.05,3.43,2.31
Chievo,Parma,X,2.95,3.17,2.54
Spal,Genoa,X,3.05,2.73,2.66
Frosinone,Napoli,2,10.67,5.18,1.30
Inter,Juventus,X,2.67,3.20,2.73
Roma,Cagliari,1,1.36,4.90,8.83
Bologna,Empoli,1,1.71,3.72,5.05
Napoli,Atalanta,2,2.13,3.58,3.28
Inter,Roma,X,1.81,3.73,4.38
Juventus,Fiorentina,1,1.45,4.20,7.83
Bologna,Sampdoria,1,2.21,3.30,3.40
Cagliari,Frosinone,1,1.91,3.42,4.31
Empoli,Spal,2,2.23,3.23,3.40
Genoa,Torino,2,2.92,2.98,2.67
Lazio,Chievo,2,1.16,7.33,18.00
Udinese,Sassuolo,X,2.29,3.20,3.32
Parma,Milan,X,5.63,3.77,1.65
Lazio,Udinese,1,1.32,5.15,9.67
Atalanta,Empoli,X,1.33,5.15,10.00
Frosinone,Inter,2,7.50,4.22,1.48
Chievo,Napoli,2,9.67,5.20,1.32
Fiorentina,Bologna,X,2.01,3.40,3.87
Sampdoria,Genoa,1,2.31,3.13,3.33
Sassuolo,Parma,X,1.68,3.60,5.62
Torino,Cagliari,X,1.72,3.53,5.33
Milan,Lazio,1,2.65,3.30,2.66
Roma,Udinese,1,1.58,4.05,5.85
Spal,Juventus,1,3.57,2.89,2.34
Bologna,Chievo,1,1.42,4.20,8.50
Napoli,Genoa,X,1.28,5.42,11.67
Inter,Atalanta,X,2.09,3.48,3.52
Lazio,Sassuolo,X,1.38,4.73,8.50
Cagliari,Spal,1,2.16,3.05,3.90
Udinese,Empoli,1,2.40,3.22,3.10
Fiorentina,Frosinone,2,1.41,4.47,8.50
Sampdoria,Roma,2,2.62,3.48,2.62
