Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Spezia,Verona,2,2.80,2.79,2.92
Milan,Verona,1,1.66,3.81,5.07
Roma,Spezia,1,1.77,3.59,4.58
Atalanta,Monza,1,1.50,4.56,5.71
Lecce,Bologna,2,2.59,3.29,2.70
Udinese,Juventus,2,5.00,4.01,1.64
Napoli,Sampdoria,1,1.08,10.42,22.50
Cremonese,Salernitana,1,2.63,3.41,2.58
Empoli,Lazio,2,3.91,3.73,1.85
Torino,Inter,2,2.53,3.41,2.69
Sassuolo,Fiorentina,2,2.52,3.56,2.59
Juventus,Milan,2,2.45,3.21,2.94
Lazio,Cremonese,1,1.21,6.59,12.03
Bologna,Napoli,X,3.84,3.43,1.97
Monza,Lecce,2,2.24,3.19,3.35
Verona,Empoli,X,1.88,3.55,4.04
Inter,Atalanta,1,1.84,3.67,4.09
Fiorentina,Roma,1,2.23,3.24,3.29
Salernitana,Udinese,1,2.81,3.27,2.51
Spezia,Torino,2,2.55,3.02,2.95
Sampdoria,Sassuolo,X,3.85,3.88,1.83
Empoli,Juventus,1,4.91,3.56,1.76
Roma,Salernitana,X,1.53,3.96,6.63
Udinese,Lazio,2,3.78,3.50,1.99
Napoli,Inter,1,2.00,3.56,3.72
Torino,Fiorentina,X,2.12,3.19,3.75
Lecce,Spezia,X,2.03,3.20,4.05
Milan,Sampdoria,1,1.14,8.46,17.78
Atalanta,Verona,1,1.45,4.62,6.98
Cremonese,Bologna,2,3.77,3.49,2.00
Sassuolo,Monza,2,2.12,3.56,3.33
Sampdoria,Empoli,X,3.56,3.34,2.12
Juventus,Cremonese,1,1.35,4.89,9.46
Bologna,Roma,X,2.58,3.08,2.95
Fiorentina,Udinese,1,1.83,3.66,4.33
Monza,Napoli,1,3.26,3.35,2.23
Verona,Torino,2,2.57,3.03,3.01
Inter,Sassuolo,1,1.45,4.74,6.46
Spezia,Milan,1,4.36,3.48,1.87
Salernitana,Atalanta,1,4.76,4.16,1.67
Lazio,Lecce,X,1.65,3.66,5.85
Sassuolo,Bologna,X,2.46,3.39,2.84
Empoli,Salernitana,1,2.22,2.84,3.96
Udinese,Sampdoria,1,1.49,4.41,6.52
Lecce,Verona,2,2.11,3.04,3.99
Napoli,Fiorentina,1,1.83,3.63,4.38
Torino,Monza,X,2.04,3.26,3.93
Atalanta,Juventus,2,2.38,3.33,3.02
Cremonese,Spezia,1,2.49,3.29,2.87
Roma,Inter,2,3.23,3.09,2.39
Milan,Lazio,1,1.86,3.47,4.44
Empoli,Bologna,1,2.75,3.04,2.79
Udinese,Napoli,X,6.03,3.86,1.60
Milan,Cremonese,X,1.34,5.03,9.67
Lazio,Sassuolo,1,1.66,4.04,5.06
Monza,Roma,X,3.93,3.16,2.09
Verona,Inter,2,5.78,3.92,1.61
Atalanta,Spezia,1,1.37,5.18,7.79
Juventus,Lecce,1,1.55,3.79,7.09
Salernitana,Fiorentina,X,4.35,3.76,1.80
Sampdoria,Torino,2,4.73,3.41,1.82
Bologna,Juventus,X,3.61,3.07,2.24
Fiorentina,Sampdoria,1,1.34,5.24,8.62
Cremonese,Verona,X,3.26,3.12,2.36
Napoli,Salernitana,X,1.19,7.07,14.25
Sassuolo,Empoli,1,2.07,3.43,3.62
Inter,Lazio,1,1.82,3.50,4.68
Torino,Atalanta,2,3.32,3.18,2.30
Roma,Milan,X,2.76,2.89,2.93
Spezia,Monza,2,2.75,3.21,2.66
Lecce,Udinese,1,2.20,3.06,3.69
Atalanta,Roma,1,2.43,3.17,3.10
Juventus,Napoli,2,3.08,3.00,2.56
Milan,Lecce,1,1.54,3.92,6.80
Monza,Fiorentina,1,3.56,3.30,2.15
Udinese,Cremonese,1,1.73,3.76,4.88
Empoli,Inter,2,5.87,4.00,1.59
Sampdoria,Spezia,X,2.75,3.19,2.69
Lazio,Torino,2,1.91,3.21,4.63
Salernitana,Sassuolo,1,3.20,3.51,2.20
Verona,Bologna,1,2.76,2.92,2.90
Fiorentina,Atalanta,X,2.35,3.39,3.03
Roma,Udinese,1,1.88,3.24,4.80
Sassuolo,Juventus,1,3.37,3.41,2.17
Torino,Salernitana,X,1.62,3.74,5.97
Lecce,Sampdoria,X,1.75,3.42,5.35
Inter,Monza,2,1.43,4.48,7.64
Napoli,Verona,X,1.49,4.18,7.19
Bologna,Milan,X,2.85,2.98,2.75
Spezia,Lazio,2,4.75,3.50,1.81
Cremonese,Empoli,1,2.26,3.31,3.28
Lazio,Juventus,1,2.87,2.87,2.84
Torino,Roma,2,3.39,2.85,2.47
Verona,Sassuolo,1,2.43,3.27,2.99
Atalanta,Bologna,2,1.65,3.86,5.39
Sampdoria,Cremonese,2,2.27,3.24,3.32
Fiorentina,Spezia,X,1.41,4.71,7.75
Udinese,Monza,X,1.92,3.42,4.20
Milan,Empoli,X,1.38,4.74,8.90
Lecce,Napoli,2,6.01,3.55,1.66
Salernitana,Inter,X,6.47,4.27,1.51
Sassuolo,Torino,X,2.47,3.24,2.97
Empoli,Lecce,1,2.67,2.91,3.00
Napoli,Milan,2,1.97,3.32,4.14
Roma,Sampdoria,1,1.34,4.85,10.20
Monza,Lazio,2,3.77,3.23,2.11
Spezia,Salernitana,X,2.41,3.11,3.17
Bologna,Udinese,1,2.22,3.26,3.40
