Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Atalanta,Parma,2,1.84,3.67,4.07
Empoli,Verona,2,1.93,2.93,4.95
Lazio,Lecce,2,1.43,4.40,7.46
Torino,Roma,2,5.45,4.29,1.55
Udinese,Fiorentina,2,3.00,3.32,2.35
Venezia,Juventus,2,6.41,4.69,1.45
Milan,Monza,1,1.24,6.70,10.23
Bologna,Genoa,2,1.48,4.23,6.76
Como,Inter,2,4.32,4.04,1.73
Napoli,Cagliari,1,1.18,7.19,14.17
Roma,Milan,1,2.15,3.52,3.22
Cagliari,Venezia,1,2.72,2.89,2.88
Fiorentina,Bologna,1,2.97,3.02,2.54
Inter,Lazio,X,1.65,3.96,4.99
Juventus,Udinese,1,1.38,4.76,8.13
Lecce,Torino,1,2.04,3.09,4.00
Monza,Empoli,2,5.09,3.50,1.73
Parma,Napoli,X,7.02,4.30,1.46
Verona,Como,X,3.25,3.03,2.36
Genoa,Atalanta,2,3.24,3.30,2.23
Atalanta,Roma,1,2.01,3.43,3.68
Venezia,Fiorentina,1,2.68,3.06,2.80
Napoli,Genoa,X,1.28,5.29,11.33
Torino,Inter,2,5.13,3.65,1.70
Verona,Lecce,X,2.47,2.79,3.35
Udinese,Monza,2,1.59,3.97,5.62
Empoli,Parma,1,2.31,3.02,3.39
Lazio,Juventus,X,2.36,3.04,3.22
Como,Cagliari,1,1.75,3.71,4.54
Milan,Bologna,1,2.22,3.33,3.22
Genoa,Milan,2,4.72,3.73,1.73
Bologna,Juventus,X,2.35,2.92,3.41
Roma,Fiorentina,1,1.74,3.59,4.85
Monza,Atalanta,2,12.33,6.77,1.20
Empoli,Lazio,2,4.43,3.48,1.83
Inter,Verona,1,1.43,4.40,7.40
Lecce,Napoli,2,7.23,4.01,1.49
Cagliari,Udinese,2,2.53,2.88,3.17
Parma,Como,2,3.28,3.31,2.20
Torino,Venezia,X,2.48,2.98,3.10
Lazio,Parma,X,1.38,4.83,7.86
Verona,Cagliari,2,2.41,2.60,3.78
Udinese,Bologna,X,5.06,3.45,1.75
Atalanta,Lecce,X,1.25,5.91,11.21
Napoli,Torino,1,1.35,4.65,9.40
Juventus,Monza,1,1.21,6.67,13.15
Fiorentina,Empoli,1,2.05,3.13,3.99
Inter,Roma,2,1.75,3.68,4.60
Como,Genoa,1,1.77,3.56,4.66
Venezia,Milan,2,5.05,4.11,1.62
Cagliari,Fiorentina,2,2.97,3.04,2.53
Genoa,Lazio,2,3.73,3.10,2.14
Parma,Juventus,1,4.88,3.70,1.71
Torino,Udinese,1,2.45,2.91,3.26
Milan,Atalanta,2,2.59,3.42,2.61
Bologna,Inter,1,3.40,3.08,2.26
Empoli,Venezia,X,2.29,2.93,3.54
Roma,Verona,1,1.55,3.87,6.28
Monza,Napoli,2,10.25,5.16,1.31
Lecce,Como,2,3.55,3.33,2.09
Napoli,Empoli,1,1.42,4.50,7.98
Lazio,Roma,X,3.14,3.08,2.41
Como,Torino,1,1.85,3.48,4.38
Fiorentina,Parma,X,1.72,3.60,5.13
Verona,Genoa,X,2.94,2.71,2.87
Atalanta,Bologna,1,1.93,3.41,4.07
Juventus,Lecce,1,1.33,4.90,9.73
Inter,Cagliari,1,1.30,5.43,10.02
Venezia,Monza,1,1.78,3.51,4.76
Udinese,Milan,2,4.11,3.56,1.88
